F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
894.93,USA,61.56,13.71,162.89,168.08,1715.73,-1.49,3.74,10,10586.18,Very high,8.25,0,1,57.3,86.63
1193.28,UK,54.78,26.88,195.32,212.08,1766.88,-5.22,2.7,6,12933.24,High,13.27,0.13,8,-2.12,2128.83
-299.37,USA,46.92,23.49,160.58,165.18,1013.67,-2.1,14.94,10,10052.98,Very low,3.08,5.98,4,56.36,2259.67
1558.2,Rest,64.08,19.38,173.14,326.44,92.4,-5.26,13.02,10,8240.9,Very low,7,5.26,4,77.2,0
1515.81,USA,75.81,13.8,173.09,106.4,892.17,-2.89,23.84,6,13855.88,High,8.98,3.02,2,73.36,2423.24
1756.5,UK,63.63,10.59,157.08,208.88,2016.78,-4.82,6.08,8,2779.36,High,8.76,0.02,3,-57.78,1219.22
874.44,Europe,33.21,4.8,144.7,154.9,121.98,-9.27,2.56,8,5612.56,Very low,7.74,1.19,4,-49.58,0
923.37,Rest,64.02,5.31,173.04,303.02,1082.34,-5.49,5.82,4,5832.04,Very low,14.21,6.18,3,128.26,0
-768.51,Europe,51.72,5.49,162.18,187.04,550.68,-10.49,7.28,8,12557.62,Very high,10.5,4.94,1,22.82,312.47
71.61,UK,64.62,17.97,175.67,313.34,1667.4,-0.41,7.42,6,9394.36,Low,6.45,0.96,1,-78.5,1673.54
943.62,UK,66.93,6.27,180.65,212.98,2112.21,-7.48,10.96,4,18688.36,High,10.29,38.18,5,9.88,1661.04
341.67,UK,65.49,3.3,170.44,278.52,2657.79,-1.41,5.14,8,8354.38,Very high,8.8,0.39,7,108.62,874.2
2233.92,USA,53.52,5.28,179.43,138.84,1098.87,-2.93,5.72,8,12984.54,Medium,8.67,0.01,7,23.06,128.76
488.37,USA,67.44,7.83,126.98,272.74,-186.39,-3.03,2.9,10,11660.7,Very low,6.03,5.36,3,-37.68,0
-552.36,USA,58.86,30,154.9,112.46,453.99,-2.19,1.82,6,27567.16,Very low,4,1.93,4,35.3,1226.5
612.99,Europe,59.7,7.47,76.3,137.36,1492.26,-9.67,9.78,2,6714.08,Low,12.5,28.89,4,156.78,0
1815.39,Rest,73.71,13.35,133.82,213.14,2333.79,-5.55,1.64,4,3513.82,Very high,8.96,0.59,0,-38.14,475.9
1490.67,Rest,56.61,7.02,208.84,208.66,1836.09,-6.84,9.1,6,10726.96,Low,13.09,0.07,3,77.14,11.09
-311.46,Rest,36.54,13.74,217.37,270.8,1059.66,-4.24,3.18,14,-7093.24,High,8.25,0.24,5,-21.12,428.62
509.19,UK,46.26,29.97,109.17,253.12,1462.77,-5.26,5.92,14,-285.1,Very low,10.86,3.54,2,-21.76,737.1
3268.5,Rest,74.7,3.66,145.46,148.74,1817.82,-4.97,12.32,10,19822.76,Very low,9.56,0.15,4,-44.52,82.5
-50.04,UK,65.13,10.8,228.08,273.78,7.98,-9.19,1.68,12,10761.14,Very high,4.78,0.69,5,14.96,197.09
-470.31,USA,86.91,15.03,207.73,210.66,1721.31,-2.42,3.26,4,14361.38,Medium,10.97,0.18,4,66.04,1842.27
1479.42,Europe,28.17,12.24,136.46,239.24,1246.74,-8.77,1.06,6,10553.26,Medium,5.56,2.68,5,73.44,0
1825.02,Europe,63.69,1.23,173.66,265.34,2048.52,-2.52,12.18,6,8636.92,High,3.95,0.01,5,-19.14,2137.38
204.72,UK,64.35,26.88,191.32,237.32,2143.29,-5.26,15.32,8,15667.7,High,9.8,1.58,3,14.3,2505.65
1880.94,USA,66.81,15.18,163.67,250.96,544.71,-3.86,7.24,6,12524.54,Medium,12.35,314.12,4,39.96,82.44
670.56,USA,38.31,22.62,151.68,178.98,1381.8,-11.45,2.64,4,14134.12,Very low,10.76,5.96,1,81.8,0
2975.85,UK,66.87,33.51,168.09,138.72,2359.41,-8.25,11.76,0,7123.32,Very high,6.2,1.27,5,-59.74,3439.79
357.99,USA,90.84,23.43,207.02,223.64,825.75,-2.55,13.02,14,6802.36,Very high,13.48,0.56,5,15.66,3284.12
1382.73,UK,49.26,10.08,209.98,249,1630.32,-5.05,1.72,6,16458.78,Very low,7.63,0,4,130.5,0
-190.8,USA,60.24,35.13,177.63,158.72,1993.38,-3.81,11.98,10,10226.14,Medium,10.11,1.93,4,-7.98,3774.55
1886.22,Europe,41.7,6.03,254.34,273.08,1204.05,-5.76,4.94,8,17948.72,Very high,8.73,0.08,4,101.82,0
-494.94,Europe,92.04,15.6,177.12,263.08,1887.24,-10.65,9,6,1825,Very low,10.33,7.21,6,125.84,991.99
-1160.91,Europe,59.07,11.85,172.28,230.78,2106.84,-4.37,6.68,10,18780.04,Medium,7.86,26.08,5,113.4,908.9
957.06,USA,59.28,10.77,169.92,302.42,385.59,-12.31,2.84,2,7294.86,Very low,9.52,0.14,5,54.52,0
5.61,UK,57.03,5.31,170.77,240.42,2363.58,-2.31,19.36,8,-4472.96,High,8.73,0.68,3,-11.76,2250.93
-621.15,UK,50.91,7.44,228.02,232.04,3779.85,-6.3,4.94,8,5118.68,Low,9.38,0.42,6,-42.6,2350.35
1328.82,USA,59.43,13.98,147.94,193.58,813.78,-10.21,11.8,10,1068.32,Medium,12.78,1.24,6,55.54,709.43
907.11,USA,89.52,10.62,166.93,191.4,1932.63,-3.7,5.16,12,9950.58,Very high,9.24,3.27,3,43.84,363.98
1059.75,UK,64.95,19.98,167.75,229.6,2778.96,-1.52,16.38,8,-8055.56,Very high,13.2,0.02,3,-30.42,2851.64
730.2,UK,63.81,4.29,161.2,261.34,67.02,-4.34,5.8,10,12299.4,Very high,13.09,1.48,4,69.46,0
1463.97,Rest,51.57,19.86,165.07,176.42,931.74,-3.48,18.54,10,-4142.7,Low,6.79,267.01,3,66.7,269.2
1011.18,UK,83.31,6,102.72,203.56,762.84,-3,6.72,6,7049.68,Very low,11.34,40.25,2,20.16,0
694.44,USA,89.25,7.17,68.92,306.82,-45.72,-3.34,13.7,4,10332.76,Very low,15.54,1.06,2,12.62,120.67
-490.26,USA,61.71,16.17,176.24,220.18,-69.87,-7.55,5.56,10,13418.32,Very low,12.91,0.02,5,-39.14,1070.63
368.94,Europe,57.54,10.26,135.13,230.76,1206.12,-1.38,1.22,8,3188.72,High,10.71,13.95,6,-85.86,2362.58
1038.27,Rest,55.17,9.03,181.57,144.84,-21.84,0.23,15.04,20,7646.16,Very low,8.98,28.1,4,72.18,0
-34.65,USA,56.55,18.78,186.23,194.04,1011.42,-5.82,5.28,6,9821.12,Low,11.51,1.87,4,33.08,1321.36
1231.74,Europe,75.27,13.95,192.53,243.1,717.96,-2.59,7.94,16,1981.2,Low,8.87,1.87,2,-4.34,0
1835.85,USA,60.48,3.72,163.87,225.48,957.48,-5.76,3.64,12,39190.18,Very low,12.72,2.71,3,67.26,0
1605.18,Rest,61.2,7.05,179.05,149.06,906.24,0.61,27.46,4,-21048.74,Low,9.7,0,2,-29.78,1068.12
1500.81,Europe,60.45,15.84,111.43,292.84,1790.64,-6.98,5.68,8,31002.28,Low,10.2,2.13,5,-90.16,2364.4
98.7,UK,64.17,19.65,241.75,226.16,615.15,0.08,11.04,10,636.68,Low,10.89,0.02,2,106.16,0
209.22,USA,66.81,3.54,166.91,249.34,2627.88,-8.98,2.28,12,8266.74,High,12.71,0.54,1,-41.96,789.66
329.79,Rest,62.82,11.04,334.05,178.42,2091.75,-7.4,15.12,12,25949.84,Very low,9.2,0.01,3,-7.68,564.24
478.83,USA,73.11,15.42,118.96,264.4,1062.51,0.85,8.74,12,7312.5,Low,8.23,0.02,1,-140.62,2870.07
251.55,UK,69.63,12.57,247.21,280.4,148.41,-2.93,9.68,18,10149.84,Very low,6.92,0,6,-21.8,145.49
765.84,UK,61.11,10.71,204.44,236.64,1884.09,-2.98,4.7,4,23440.02,Very low,10.24,0.03,2,-17.4,664.94
-326.19,USA,68.97,6.03,163.56,307.22,-291.48,-1.55,12.52,6,-9054.96,High,4.96,1.59,2,57.28,211.1
1216.08,Rest,65.22,4.47,190.33,207.5,-389.7,-4.29,13.82,10,29139.26,Medium,11.42,0,7,-4.98,248.81
1523.79,USA,59.76,16.26,147.12,253.3,1528.26,-4.83,3.74,10,-20472.6,Medium,8.97,0.34,4,-49.08,1510.38
182.28,USA,55.17,10.95,159.05,119.66,2113.95,-3.71,4.92,2,14027.32,Medium,6.09,778.53,9,30.86,3616.65
420.48,UK,52.08,7.32,123.04,192.68,1056.93,-10.43,11.32,6,36221.54,Medium,8.39,0.84,2,-94.7,1613.03
1022.37,Europe,63.42,9.9,97.59,237.42,1126.02,-4.3,20.6,8,-14498.14,Very low,14.15,27474.53,6,-3.92,2277.7
-587.37,USA,61.77,2.37,172.03,219.94,2306.97,-3.16,5.5,6,8212.92,Low,13.57,0.01,1,51.58,223.23
501.78,Rest,49.77,9.39,149.82,184.1,1831.08,-5.96,2.74,12,9779.94,Very high,13.28,1.48,3,82.2,0
-166.5,USA,38.4,9.9,176.22,252.08,2034.9,-5.86,9.62,2,6600.72,Very high,12.88,0.71,3,-27.68,3746.13
973.47,USA,55.32,7.92,139.61,116.8,1856.85,-8.41,5.96,12,16744.64,Very high,12.53,0.06,3,-26.58,1498.98
49.5,USA,63.69,8.46,182.51,265.58,491.82,-2.71,23.96,8,-6330.84,Low,7.77,0.35,1,62.04,1070.68
1259.55,USA,59.88,24.12,164.95,158.26,191.16,1.37,0.58,8,17094.1,Medium,9.63,0.01,1,12.22,0
1957.32,UK,62.34,3.27,133.54,351.36,1491.39,-2.89,19.82,6,-7219.72,Very low,7.52,0.09,3,60.22,287.79
1148.91,Europe,53.49,7.23,128.97,175.76,1173.45,0.62,8.46,8,10747.94,Low,16.82,0.25,3,89.42,0
2456.13,Rest,51.48,17.73,85.66,191.02,1037.52,0.75,7.6,6,14113.18,Very low,9.27,7329.26,7,-26.82,412.32
1026.45,UK,33.21,14.19,160.93,272.72,1469.19,-6.07,2.48,8,822.22,Very low,10.87,971.84,3,92.4,0
-874.83,USA,49.38,20.76,150.9,319.4,412.92,-3.51,9.54,2,6506.56,High,7.65,78.66,9,74,3712.44
30.54,USA,55.26,17.43,144.59,269.1,263.07,-2.49,3.84,16,6948.26,Very high,12.47,0.01,3,25.6,45.78
1355.13,UK,62.79,18.48,175.72,172.06,2318.22,-6.37,7.14,8,1392.76,Low,19.47,404.7,5,78.34,614.14
1500.09,Rest,62.55,15.3,166.69,318.1,1490.4,-5.16,3.96,4,29632.6,Very low,12.82,33.93,3,-18.1,233.1
2975.31,Europe,67.14,1.8,166.44,283.22,2184.6,-8.27,11.54,6,13131.46,Low,11.35,0.17,1,-6,0
1302.3,UK,31.74,4.62,186.96,228.14,326.1,-0.24,1.38,16,10164.62,Very low,9.3,2.11,5,29.26,0
638.04,Europe,68.22,4.92,61.33,265.06,352.62,-6.97,8.32,6,14603.44,Low,14.69,0.25,3,171.84,0
1020.48,Rest,63.84,5.85,218.29,194.52,2109.27,-5.94,6.54,6,-13079.1,Medium,5.17,1.52,2,-3.26,300.75
1620.75,USA,70.17,2.31,164.92,268.82,1784.01,-0.72,8.42,10,6708.34,High,10.41,0.18,3,93.66,0
232.38,Rest,92.79,8.52,172.86,58.88,205.14,-5.96,15.24,6,4317.74,Low,3.55,0.26,4,-5.28,512.48
1433.73,Europe,73.02,9.45,230.53,295.48,34.65,-0.69,6.56,6,8202.38,Medium,12.03,0,8,-159.46,2760.11
-148.47,USA,61.32,19.56,148.68,285.32,2031.87,-3.55,20.52,14,-5619.98,Very high,16.27,0.25,4,-40.06,3789.63
435.54,Europe,63.3,9.93,150.54,220.82,792.24,-8.77,17.88,8,19860.06,High,7.55,0,6,3.8,2670.98
757.38,Rest,59.25,15.57,176.1,123.3,2215.53,-10.96,9.4,10,13622.38,High,12,0.3,4,72.46,459.92
1119.57,Europe,59.88,17.46,155.5,298.24,1788.63,-7.82,15.78,18,17890.98,Medium,10.13,0.23,2,104.78,0
2157.93,UK,65.82,14.49,166.8,294.94,1727.1,2.46,5.14,8,15285.1,Very low,11.35,0.33,3,29.66,0
2597.52,Europe,80.79,5.52,155.6,140.46,1283.22,-4.44,8.78,6,4089.94,Low,13.59,0.19,7,0.48,399.34
1702.74,USA,57.3,19.14,157.07,230.18,1108.29,-4.85,16.82,12,14438.76,Very high,12.37,0.02,3,70.18,1427.31
773.67,USA,37.32,9.93,210.84,219.06,1580.55,-4.97,5.44,0,25885.46,Very low,12.66,1.09,5,92.26,338.93
-96.27,UK,59.22,3.99,228.26,309.28,3238.17,-5.98,3.66,2,10133.76,Very low,9.02,1647.18,3,30.08,928.76
723.48,UK,51.12,14.22,123.26,191.56,272.1,-2.65,15.88,10,6780.16,Very low,7.91,0.32,4,22.08,506.71
2314.56,USA,60.57,8.79,169.71,181.94,2938.8,-7.57,6.96,6,37121.84,Very high,8.06,131.45,2,52.18,807.66
-44.52,Europe,53.79,21.75,194.63,309,1874.94,-4.06,20.2,12,6320.94,High,12.27,0.01,3,-66.12,2959.77
987.12,USA,63.66,24,163.53,271.1,3358.89,-1.94,4.12,12,1945.28,Medium,12.47,10.01,1,95.26,311.36
-464.91,Europe,65.88,2.16,166.56,304.54,1457.04,-2.31,3.06,10,18790.6,Low,12.79,38.66,4,-15.7,0
1321.41,Europe,55.71,11.82,156.54,179.94,1501.71,-8.14,1.16,14,45209.82,Medium,10.8,1.05,3,50.64,0
732.75,USA,71.61,6.69,214.51,275.98,930.24,-4.49,5.7,8,24634.94,Very low,9.51,0.69,5,16.64,10.3
2300.04,UK,83.85,11.34,191.1,217.22,2163.51,-1.2,4.9,6,3746.48,Medium,6.55,2.92,1,18.58,79.01
-1268.55,Rest,43.44,1.83,119.55,199.56,1070.19,-0.94,2.6,2,5998.94,Low,4.93,0.2,5,29.16,367.03
229.02,Rest,52.02,48.27,163.47,330.98,1211.37,-2.73,2.18,10,1194.08,High,8.55,0.12,4,103.26,698.75
1833.51,USA,74.19,25.14,72.62,277.64,1108.32,-1.82,9.68,8,7300.06,High,6.37,0.78,3,-5.52,2611.21
1496.61,UK,64.86,17.52,175.58,271.24,3126.87,-0.91,10.38,8,27165.98,Very high,7.47,0.45,9,59.84,2386.99
925.11,UK,42.81,13.68,173.51,279.5,1867.26,-5.15,3.68,14,-12198.48,Low,8.33,0.02,3,10.06,0
1308.45,Europe,72.63,16.5,219.04,241.66,2088.75,-7.5,10.74,8,-11303,Very low,8.24,7.57,3,-13.94,1567.58
1783.53,UK,78.39,12.36,171.18,245.2,-1190.94,-6.28,2.32,8,7780.3,Low,8.71,20.21,1,65.32,0
2478.24,Rest,59.94,7.35,165.89,202.54,728.94,-3.89,5.72,8,1160.58,High,8.67,0.03,5,71.2,0
-187.14,UK,23.25,7.14,107.29,167.4,780.51,-8.73,5.22,4,8027.42,Very low,8.84,26.89,4,84.96,0
1044.12,Europe,65.37,31.8,168.35,178.12,735.12,-10.29,3.4,8,17497.6,Low,17.15,0,3,81.6,0
196.62,Rest,74.01,4.56,146.27,205.2,245.46,-5.48,1.28,10,-6519.02,Medium,12.43,742.99,4,-22.4,0
1538.73,UK,52.11,9.51,174.12,342.76,1346.16,4.28,5.14,6,8711.46,Low,11.68,0.04,2,138.08,0
310.86,UK,66.42,4.2,161.99,141.3,177.42,-3.7,4.54,2,22225.54,Medium,8.45,0.09,4,2.34,461.8
-578.07,USA,69.96,11.1,165.51,171.62,921.75,-6.38,25.22,2,10330,Very high,12.76,0.15,4,62.24,3778.21
1041.69,USA,61.47,9,200.63,264.8,1571.85,-6.05,7,6,12556.34,Medium,4.13,0.03,6,-19,2771.1
1753.26,Europe,63.87,0.51,157.29,249.88,991.47,-2.9,2.06,4,-2771,Very high,5.06,0.06,3,51.56,0
540.15,Europe,63.96,3.51,166.95,240.04,489.87,-3.2,6.3,10,8055.22,High,10.48,0.34,7,2.34,591.06
2539.77,Rest,80.22,10.47,162.1,239.4,705.75,-1.23,3.7,6,-1047.68,Low,9.37,0.27,4,-29.24,7.3
532.08,Rest,57.96,7.23,161.93,183.7,905.73,-3.68,11.88,12,14891.74,Very low,12.17,0.03,4,94.24,0
992.19,Rest,53.58,3.48,149.05,294.22,1971.66,-5.31,1.46,0,-431.1,Low,7.81,1.96,6,57.64,211.74
1055.34,USA,63.18,15.75,242.79,185.7,1057.11,-2.56,11.5,14,334.22,Very high,10.45,0.04,5,-87.38,3574.85
-188.49,UK,56.58,3.57,149.74,201.62,839.28,-2.68,3.26,8,-6318.58,Very low,9.84,2.08,3,11.28,0
730.41,Europe,61.74,2.28,184.38,301.84,2139.57,-10.01,3.94,4,2364.18,Very high,13.91,0.35,2,92.92,0
342.36,UK,67.35,29.1,123.1,192.08,2630.22,-3.99,11.26,14,-4139.62,Low,12.85,53.37,2,109.52,683.84
-847.44,USA,65.49,13.68,173.5,344.42,1042.59,-2.91,6.52,6,4834.72,High,8.4,0.98,2,21.7,2226.12
778.44,Europe,79.53,4.71,163.2,163.08,1918.05,0.4,1.52,10,11453.34,Medium,8.32,0.01,3,69.96,0
767.94,Rest,56.67,4.68,218.65,270.36,256.83,0.33,11.12,14,1937.12,Medium,13.23,0.49,3,-3.94,0
94.62,UK,77.79,0.84,158.97,225.08,854.85,-4.94,19.88,4,11513.1,High,11.82,0,3,-69.1,2300.05
38.04,USA,70.83,5.94,164.52,240.02,2057.04,-5.78,10.32,6,13218.98,Very high,5.96,0.01,3,-97.24,3763.35
-1007.58,Europe,65.97,4.32,82.09,269.98,695.91,-7.13,5.56,6,27342.32,Very high,12,54.4,2,24.48,809.88
244.95,USA,60.27,10.68,171.94,66.1,-243.3,-4.01,13.02,10,-4409.14,Low,14.75,11.53,2,16.16,2.74
1686.51,UK,40.59,7.83,160.9,232.54,726.87,-5.29,5.02,4,3562.94,Very low,9.1,240.95,6,48.1,0
2197.8,UK,72.12,10.95,298.03,256.38,1882.89,0.89,11.38,8,20477.28,High,9.59,2.17,6,143.84,164.72
-937.32,UK,61.44,16.71,193.97,295.84,902.31,-5.56,11.5,6,22549.48,Very high,10.51,1.5,3,-86.92,2814.64
1211.58,Rest,58.83,6.78,153.6,330.04,1605.6,-3.92,6.44,20,16063.28,Low,15.04,0.55,2,71.4,0
1505.13,Europe,66.84,3.54,216.2,214.26,1371.96,-7.8,6.82,6,10963.6,Medium,7.88,2.26,4,135.28,0
208.95,Europe,48.6,16.11,128.37,210.82,945.45,-3.92,7.14,6,1143.48,Medium,8.99,49.59,4,29.34,1327.09
60.15,Rest,69.12,2.4,87.82,250.1,2083.77,-1,7.9,2,17531.12,Very high,9.23,1.05,3,70.92,541.42
-105.99,USA,58.08,4.41,135.39,241.98,1056.96,0.38,10.94,4,6034.12,Medium,14.76,1.26,4,41.48,1636.57
576.18,UK,47.67,6.33,189.78,179.36,2080.26,-8.66,3.84,4,-309.06,Low,13.4,3.74,3,117.46,0
165.99,Rest,16.2,2.88,170.85,237.08,1522.59,-6.62,12.8,6,-409.8,Medium,8.19,0.54,5,120.04,196.94
1172.31,UK,65.58,19.38,154.51,208.66,2031.36,-3.3,8,4,11390.7,Medium,4.35,0.48,3,-42.52,1903.25
1062.81,USA,84.09,0.54,114.96,214.9,3191.91,-3.51,10.38,14,11834.74,Medium,14.95,2.58,4,25.5,701.35
131.82,Europe,73.5,29.37,170.63,281.86,1180.23,-6.8,5,2,-257.28,Low,14.09,0.1,3,-2.32,2537.01
109.29,Rest,52.56,19.23,112.71,362.82,1184.76,-8.35,7.16,4,12659.98,Very high,13.55,0.07,6,91.52,814.47
1842.24,Europe,53.25,16.47,157.37,178.64,1963.59,-7.35,5.68,4,12267.16,High,8.3,8.78,2,-41.58,2135.45
