F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-36.81,-2.1,20,5.35,3.3,0.96,-11.01,-41.91,-48.14,-16.4,365,-179.87,7.8,5.08,8.71,False
-66.81,-0.81,20,8.55,-2.86,0.86,-10.26,-39.06,-48.14,-15.84,170,-239.87,5.25,4.17,,False
-246.81,-5.04,20,7.45,-2.54,-1.72,-11.43,-40.11,-68.14,-13.58,205,-84.87,6.9,5.22,,True
-156.81,10.53,20,5.35,-1.02,1.86,-10.95,-40.41,-48.14,-14.26,135,-124.87,9.2,5.33,,False
-309.81,6.18,0,0.79,0.02,-5.82,2.28,-23.46,-18.14,-21.54,20,-14.87,2.04,8.58,,True
-156.81,-5.7,20,8,4.6,0.16,-14.7,-41.91,-48.14,-10.96,215,-114.87,8.05,3.45,,True
-411.81,-2.22,20,5.6,-0.58,0.66,-4.23,-38.16,-48.14,-14.22,145,-54.87,5.65,4.18,,False
-321.81,9.18,2,0.59,-0.52,-12.8,0.51,-22.47,-22.14,-22.72,5,-7.87,1.84,8.14,,True
-471.81,5.67,20,5.65,-0.94,-1.46,-8.46,-42.06,-48.14,-14.76,35,-219.87,6.55,4.51,9.87,False
-279.81,10.02,2,0.58,2.32,-6,1.59,-22.65,-22.14,-27,19,-2.87,1.34,11.23,,True
-240.81,13.23,2,0.3,1.76,-5.56,2.79,-23.01,-22.14,-21.42,1,-19.87,0.36,8.03,,False
-231.81,-3.39,20,5.7,-2.28,3.14,-12.87,-41.76,-48.14,-11.18,380,-19.87,14.95,4.54,12.88,True
-111.81,-3.24,20,5.65,-3.04,-0.32,-5.01,-41.16,-48.14,-14.62,315,-159.87,14.45,4.24,10.57,False
-255.81,7.92,2,0.7,0.44,-5.56,8.61,-22.77,-22.14,-20.48,17,-34.87,1.28,8.34,10.47,False
-234.81,28.47,2,0.62,0.1,-6.4,1.47,-21.39,-22.14,-21.12,23,-34.87,1.05,8.88,,False
-306.81,7.83,2,0.81,0.2,-7.12,4.35,-22.65,-18.14,-24.04,4,-22.87,1.29,8.38,,True
-321.81,-4.5,20,9.3,-1.86,-2.7,-13.38,-39.36,-48.14,-12.96,310,-154.87,11.55,4.72,,True
-258.81,8.79,2,0.76,0.04,-12.18,0.69,-21.84,-22.14,-22.36,18,-14.87,1.91,9.27,,True
-339.81,9.48,2,0.64,0.3,-7,1.17,-22.14,-22.14,-21.3,42,-22.87,1.5,8.49,11.55,True
-546.81,-4.02,20,9.35,-0.26,3.26,-12.93,-38.61,-48.14,-12.82,100,-14.87,6.95,5.58,,True
-471.81,-8.34,20,9.4,3.48,3.94,-14.55,-45.66,-28.14,-11.02,115,-219.87,5.2,3.35,10.99,True
-264.81,7.8,2,0.21,0.38,-7.72,0.96,-22.95,-26.14,-20.88,10,-33.87,0.55,9.54,,False
-336.81,-3.66,20,7.6,3.86,0.06,-4.23,-37.71,-48.14,-14.16,35,-204.87,10.55,7.34,10.59,False
-36.81,0.15,20,6.85,0.1,-2.32,-7.62,-37.71,-48.14,-14.86,190,-219.87,14.5,4.87,10.9,False
-501.81,-5.31,20,8.3,-2.46,3,-11.16,-37.86,-28.14,-11.52,100,-74.87,13.45,4.91,10.8,True
-237.81,12.81,2,0.79,-0.54,-5.96,8.04,-22.38,-26.14,-23.24,13,-41.87,0.81,10.33,,True
-231.81,10.89,2,0.06,1.9,-10.52,2.88,-22.35,-26.14,-22.32,15,-8.87,1.95,8.56,11.7,True
-246.81,-4.74,20,8.7,0.32,0.62,-11.16,-36.66,-48.14,-23.46,360,-34.87,9,5.76,,False
-336.81,0.54,20,7,-0.2,-0.48,-5.13,-37.41,-28.14,-21.72,105,-209.87,6.95,5.01,9.85,False
8.19,-2.79,20,7.2,0.28,-3.42,-13.05,-39.66,-48.14,-17.62,230,-94.87,8.6,3.88,,True
-258.81,9.12,2,0.46,4.02,-6.12,4.26,-22.65,-26.14,-22.32,36,-40.87,1.48,8.21,,False
-246.81,8.49,2,0.07,-0.54,-7.26,5.19,-22.53,-22.14,-20.84,41,-21.87,1.35,9.13,,False
-486.81,6.36,20,9.75,-0.98,-4.36,-14.1,-38.76,-28.14,-12.48,15,-139.87,8.2,3.8,,True
-267.81,9.84,2,0.42,-0.84,-7.48,5.82,-21.03,-26.14,-22.02,2,-23.87,1.3,9.03,,False
-324.81,7.29,2,0.9,2.84,-7.02,3.54,-21.87,-22.14,-20.5,35,1.13,1.32,9.44,10.77,True
-330.81,7.83,2,0.75,2.64,-8.4,15.9,-22.44,-22.14,-23.62,15,-5.87,0.19,8.93,,True
-342.81,7.68,2,0.92,2.06,-10.22,3.21,-23.25,-22.14,-22.26,9,-21.87,1.48,10.14,,True
-267.81,8.7,2,0.08,4.38,-8.96,5.07,-21.78,-26.14,-21.62,3,-3.87,2.05,10.93,,True
-381.81,4.44,20,7.25,-2.72,-4.64,-9.63,-36.06,-48.14,-14,185,-174.87,13.95,4.84,,False
-264.81,7.5,2,0.91,-0.38,-7.42,0.72,-23.34,-22.14,-22.88,27,-34.87,0.86,8.88,,True
-111.81,0.72,20,9.4,-2.46,-0.26,-13.5,-40.26,-68.14,-11.42,225,-214.87,8.9,3.7,,True
-279.81,14.82,2,0.65,-0.1,-6.14,7.56,-22.89,-18.14,-26.9,11,-15.87,1.91,10.06,12.66,True
-234.81,8.7,2,0.7,-0.52,-7.96,2.76,-23.37,-26.14,-21.78,12,-7.87,0.52,8.12,12.31,True
-186.81,-3.72,20,7.45,-1.8,2.16,-9.57,-37.11,-68.14,-12.7,145,-84.87,5.7,5.93,,False
-267.81,7.68,2,0.5,0.24,-7.36,1.44,-22.44,-26.14,-22.6,53,-49.87,1.92,8.13,,False
-171.81,-4.14,20,8.35,-1.84,1.1,-7.59,-35.76,-48.14,-13.32,175,-144.87,7.1,5.31,,False
-201.81,-2.1,20,5.75,0.12,-0.2,-9.3,-37.41,-68.14,-14.78,120,-139.87,8.85,5.72,,False
-441.81,-6.9,20,9.3,0.64,3.94,-12.99,-41.31,-48.14,-23.48,165,-199.87,7.85,4.7,11.65,True
-321.81,7.41,2,0.72,0.5,-8.98,0.75,-22.98,-16.14,-21.38,0,-31.87,0.83,7.92,,True
-156.81,-4.65,20,7.35,-2.52,-2.44,-13.14,-39.96,-48.14,-12.32,55,-49.87,5.95,4.59,12.22,True
-324.81,7.71,2,0.8,4.8,-5.6,3.12,-21.78,-22.14,-20.58,25,-3.87,1.68,8.09,,False
-222.81,7.59,2,0.48,1.08,-8,4.32,-22.83,-22.14,-21.84,15,-6.87,0.6,10.34,12.15,True
-576.81,-0.27,20,7,-3.16,-5.74,-0.72,-36.51,-48.14,-15.5,35,-169.87,11.95,4.78,,False
-333.81,10.68,2,0.04,1.68,-6.02,2.43,-22.44,-22.14,-21.02,7,-18.87,1.15,8.53,9.81,False
-6.81,2.04,20,6.2,-0.5,-1,-4.95,-37.26,-68.14,-16.02,345,-219.87,9.4,6.17,,False
-291.81,-3.39,20,7.4,-1.34,3.96,-12.93,-44.16,-48.14,-12.92,130,-199.87,7.25,4.17,11.67,True
-243.81,7.38,2,0.33,4.32,-5.54,4.23,-22.95,-26.14,-21.94,75,-4.87,1.8,10.52,,True
-258.81,9.15,2,0.01,2.24,-5.54,3.81,-23.43,-26.14,-22.62,34,0.13,0.25,8.4,,True
-231.81,-7.17,20,7.4,-2.78,3.56,-13.41,-43.71,-68.14,-11.96,265,-164.87,9.5,5.42,,True
-249.81,6.99,0,0.66,-0.02,-6.28,5.58,-21.51,-26.14,-21.7,11,1.13,1,7.95,11.22,True
-246.81,11.97,2,0.88,0.68,-8.28,1.23,-21.12,-26.14,-22.4,71,-0.87,2.08,8.66,10.48,False
-66.81,-1.74,20,6,-1.84,2.14,-4.83,-43.26,-68.14,-13.56,350,-139.87,5.35,3.89,9.93,False
-351.81,-5.4,20,7.1,-0.64,3.6,-5.85,-42.81,-48.14,-13.74,115,-19.87,5.5,5.11,,True
-51.81,-3.69,20,9.2,-2.5,3.48,-12.45,-35.76,-68.14,-12.52,285,-54.87,5.65,4.46,,True
-279.81,13.11,2,0.47,0.22,-8.12,0.72,-23.25,-20.14,-24.92,0,-39.87,0.41,8.4,,False
-261.81,8.85,2,0.6,1.76,-8.98,3.78,-23.49,-22.14,-21.7,16,-42.87,0.62,8.72,11.65,False
-6.81,0.66,20,8.05,0.16,5,-14.55,-47.31,-68.14,-10.82,365,-164.87,6.4,2.99,,True
-246.81,-6.12,20,6.65,-2.06,4.38,-13.53,-43.86,-68.14,-12.24,190,-44.87,8.35,3.04,12.08,True
-237.81,14.1,2,0.73,-0.74,-5.9,5.88,-21.87,-22.14,-22.66,6,-19.87,0.95,9.5,,False
-456.81,0.48,20,6.9,-0.7,-2.48,-6.24,-39.06,-48.14,-14.46,230,-124.87,9.4,3.85,9.07,False
-294.81,9.3,2,0.39,3.04,-7.24,2.1,-22.8,-22.14,-24.62,27,-37.87,1.87,9.13,,False
-351.81,-7.95,20,8.7,5.1,-0.98,-12.27,-46.56,-28.14,-17.24,270,-234.87,8.4,2.95,,False
-264.81,13.8,2,0.55,0.68,-13.24,1.11,-22.02,-26.14,-26.3,20,-21.87,0.94,8.97,,False
-231.81,7.86,2,0.33,-0.88,-6.78,4.53,-22.83,-26.14,-25.66,20,-6.87,0.9,8.38,12.62,True
-306.81,-0.15,20,7.2,0.62,-2.1,1.95,-39.36,-28.14,-13.3,240,-184.87,13.7,4.65,10.46,False
-258.81,9.99,2,0.32,2.14,-14.14,2.4,-23.55,-22.14,-24.2,15,-29.87,1.6,9.87,,True
-261.81,8.7,2,0.82,2.58,-9.22,2.25,-23.4,-22.14,-23.52,77,-20.87,1.17,8.16,11.19,True
-270.81,12.09,2,0.32,2.74,-6.62,4.35,-23.16,-26.14,-26.34,5,-16.87,1.02,8.54,11.66,True
-516.81,-3.09,20,6.85,1.74,1.22,-8.61,-39.96,-48.14,-15.48,375,-224.87,7.7,4.32,10.78,False
-471.81,0.57,20,6.3,-3.08,-2.72,-10.89,-39.36,-48.14,-12.8,100,-114.87,13.6,3.95,9.61,False
-312.81,11.31,2,0.9,3.8,-5.8,5.1,-23.07,-22.14,-20.12,72,-16.87,1.36,10.51,,True
8.19,-1.74,20,6.85,-1.64,2.38,-11.46,-42.51,-68.14,-18.48,145,-214.87,5.2,3.97,,False
-273.81,10.35,2,0.91,5.02,-7.32,1.29,-20.97,-26.14,-21.42,46,-21.87,1.88,8.78,10.04,False
-219.81,8.61,2,0.57,1.84,-7.52,2.25,-23.07,-26.14,-22.98,55,-26.87,0.24,10.32,11.43,True
-267.81,8.91,2,0.51,1,-5.74,0.87,-23.46,-26.14,-24.6,44,-22.87,0.84,11.63,12.33,True
-321.81,19.68,2,0.6,1.26,-5.94,0.69,-22.95,-22.14,-25.18,35,-23.87,0.81,8.11,,True
-222.81,8.07,2,0.83,-0.48,-11.42,3.6,-22.29,-22.14,-21.18,7,-2.87,0.33,11,11.53,True
-546.81,-3.63,20,6.95,0.74,0.74,-9.6,-38.91,-28.14,-14.54,30,-149.87,5.6,6.51,,False
-486.81,-4.2,20,5.4,-0.82,1.34,-9.33,-38.61,-28.14,-13.46,55,-64.87,11.5,5.84,9.42,False
-516.81,3.24,20,5.65,0.14,1.58,-7.17,-36.96,-48.14,-16.24,25,-49.87,7.05,5.33,10.57,False
-312.81,8.97,2,1,1.9,-9.76,1.2,-22.08,-22.14,-22.54,63,-6.87,1.34,9.56,11.54,True
-258.81,10.56,2,0.41,0.22,-8.38,8.34,-22.89,-22.14,-21.36,17,-36.87,0.06,8.35,10.48,False
-486.81,-6.66,20,9.95,0.7,-0.1,-15.51,-39.21,-28.14,-13.2,280,-44.87,14.05,3.03,10.93,True
-282.81,8.58,2,0.1,-0.66,-8.88,0.48,-22.41,-22.14,-26.04,33,-10.87,1.66,9.71,10,False
-141.81,1.26,20,6.7,0.86,-1.14,-7.74,-38.31,-48.14,-15.64,370,-219.87,10.9,6.1,10,False
-531.81,0.9,20,6.9,-0.7,-2.02,-12.24,-45.81,-48.14,-11.52,155,-199.87,10.3,5.26,,True
-291.81,19.17,2,0.48,4.88,-10.5,4.74,-23.19,-22.14,-20.76,2,-19.87,0.86,9.71,11.61,True
-246.81,-6.03,20,5.95,-0.7,1.56,-10.95,-41.76,-48.14,-12.58,355,-114.87,10.95,3.77,10.45,False
-261.81,15.51,2,0.27,1.76,-7.96,1.95,-22.71,-26.14,-21.06,17,-32.87,0.21,9.34,10.36,False
-291.81,-4.65,20,6.85,2.32,2.3,-13.23,-39.66,-28.14,-15.54,165,-69.87,11.3,5.46,,True
-327.81,7.08,2,0.58,-0.4,-8.76,4.32,-22.89,-22.14,-23.08,26,-18.87,1.41,8.93,,True
-381.81,-7.71,20,8.5,0.36,3.38,-6.63,-39.21,-48.14,-14.74,195,-29.87,7.7,3.68,,True
-234.81,8.37,2,0.44,0.82,-5.88,2.46,-23.43,-22.14,-32.88,41,-10.87,0.84,7.97,11.31,True
-21.81,-2.64,20,7.9,-3.04,0.28,-6.15,-36.51,-48.14,-17.9,195,-204.87,6,4.87,,False
-456.81,-6.84,20,7.05,2.38,3.84,-12.12,-44.46,-28.14,-13.3,310,-209.87,11.9,4.06,10.72,False
-231.81,6.96,2,0.98,2.02,-6.78,5.55,-22.65,-26.14,-23.84,50,-2.87,0.33,7.97,,True
-411.81,-1.17,20,6.5,0.12,-0.14,-3.93,-37.26,-28.14,-15.82,105,-189.87,5.4,7.16,,False
-441.81,0.27,20,5.8,-2.84,-5.08,-10.98,-37.41,-48.14,-13.68,85,-34.87,9.2,5,10.36,False
-243.81,17.04,2,1.04,2.62,-5.9,1.77,-21.09,-22.14,-21.24,44,-32.87,1.92,11.56,10.39,False
-276.81,12.21,2,0.3,-0.68,-6.24,0.87,-22.98,-24.14,-21.98,1,-32.87,0.03,8.81,9.91,False
-471.81,-5.34,20,7.7,1.5,0.36,-14.97,-42.96,-48.14,-17.64,235,-4.87,12.15,3.04,11.2,True
-171.81,-1.08,20,7.35,-2.98,-1.32,-8.91,-40.86,-48.14,-12.58,75,-159.87,9,5.22,,False
-186.81,-7.77,20,5.95,-1.58,-1.5,-14.85,-47.76,-68.14,-9.9,250,-49.87,7.6,3.73,,True
-228.81,14.31,2,0.6,3.56,-8.24,1.08,-21.72,-22.14,-21.12,13,-2.87,0.11,10.25,10.52,False
-240.81,6.96,2,0.03,5.96,-5.78,-0.03,-23.49,-26.14,-22.5,40,-5.87,0.26,8.56,10.99,True
-264.81,7.89,2,0.19,2.24,-5.6,1.23,-23.22,-22.14,-22.48,29,-23.87,0.55,10.98,10.43,False
-279.81,8.28,2,0.95,0.82,-6.74,-0.75,-23.55,-18.14,-21.04,62,-7.87,0.99,7.62,,True
-231.81,9.75,2,0.86,0.54,-6.56,3.12,-22.62,-26.14,-20.62,5,-14.87,1.41,8.35,11.32,True
-219.81,10.11,2,0.88,-0.8,-6.1,0.66,-20.82,-22.14,-22.12,11,-23.87,1.93,9.87,10.86,True
-306.81,1.95,20,5.4,-1.94,-2.16,-9.78,-40.56,-38.14,-20.44,5,-204.87,5.2,8.79,,False
-411.81,-3.27,20,6.6,1.4,2,-10.14,-42.36,-28.14,-12.26,80,-149.87,13.25,4.66,11.63,True
-516.81,-2.88,20,7,0.08,2.66,-4.47,-38.76,-28.14,-12.9,120,-89.87,7.95,3.92,9.96,False
-21.81,-0.39,20,5.35,-1.78,0.3,-9,-37.86,-68.14,-19.44,365,-154.87,15.35,5.03,9.99,False
-225.81,8.1,2,0.84,-1.02,-7.78,2.91,-20.85,-24.14,-22.1,0,-35.87,1.06,9.33,10.35,True
-51.81,-3.69,20,7.75,2.64,3.24,-10.02,-44.16,-48.14,-11.46,170,-199.87,8.2,5.62,12.67,True
-36.81,-2.25,20,8.8,-2.82,-2.98,3.06,-36.21,-48.14,-13.64,300,-149.87,13.6,4.82,10.03,False
-306.81,-4.14,20,5,0.44,1.46,-11.19,-43.41,-48.14,-13.9,80,-204.87,10.6,4.59,11.16,False
-156.81,6.51,20,5.75,-3.66,1.08,-9.9,-39.06,-68.14,-15.58,100,-124.87,10.35,6.27,11.02,False
-315.81,19.86,2,0.87,-0.1,-5.72,3.39,-22.77,-18.14,-23.64,21,-15.87,0.71,8.27,12.36,True
-234.81,14.4,2,0.52,-0.36,-7.2,1.77,-21.24,-26.14,-21.28,1,-6.87,0.68,10.96,,True
-306.81,-3.72,20,7.05,-0.66,3.2,-7.47,-38.76,-28.14,-20.32,260,-64.87,14.3,5.17,,False
-291.81,0.51,20,7,-1.88,0.22,-7.08,-35.01,-48.14,-16.76,30,-139.87,13.65,7.11,,False
-306.81,-7.35,20,9.9,0.82,3.18,-9,-38.46,-28.14,-12.54,130,-89.87,5.2,3.02,11.39,True
-36.81,-3.21,20,8.75,-3.38,3.44,-8.52,-40.56,-68.14,-13.42,210,-214.87,7.9,4.34,12.35,True
-531.81,-6.69,20,5.95,-0.18,-3.38,-6.21,-49.71,-28.14,-13.6,160,-219.87,11.35,4.03,,True
-300.81,7.32,2,0.7,1.56,-6.24,8.58,-22.05,-22.14,-22.3,10,-19.87,0.91,8.48,,False
-240.81,10.38,2,0.72,-0.4,-7.04,3.3,-21.54,-22.14,-21.1,10,-26.87,0.68,8.11,,False
-315.81,11.67,2,0.46,1.66,-8.32,3.03,-23.28,-22.14,-21.22,6,-38.87,0.79,10.2,11.26,False
-456.81,-2.31,20,6.5,2.04,-2.96,-4.44,-37.41,-28.14,-16.88,95,-174.87,5.3,5.82,9.74,False
-96.81,-5.13,20,5.6,-0.32,3.18,-11.94,-40.86,-48.14,-12.26,80,-19.87,9.4,4.33,,False
-306.81,10.17,2,0.4,4.62,-6.12,1.26,-21,-22.14,-23.42,4,-7.87,1.68,8.35,,False
-264.81,15.21,2,0.47,7.34,-6.98,3.96,-22.71,-26.14,-21.18,15,-39.87,0.48,9.13,11.17,False
-243.81,7.95,2,0.5,3.32,-8.7,3.81,-23.01,-22.14,-23.9,56,-23.87,0.9,8.12,,True
-240.81,27.99,2,0.79,0.96,-8.1,4.23,-20.79,-22.14,-22.98,9,-12.87,0.64,8.54,,False
-231.81,7.53,2,0.31,-0.56,-6.74,0.45,-23.37,-22.14,-26.26,8,-32.87,1.63,9.68,,True
-339.81,10.29,2,0.95,2.96,-7.52,-0.15,-23.31,-22.14,-21.44,35,-33.87,1.66,12.05,,True
-336.81,-4.92,20,7.05,-1.1,3.02,-11.64,-44.01,-48.14,-13.66,200,-219.87,10.1,7.21,11.08,True
-306.81,-2.82,20,5.8,0.26,2.44,-13.35,-46.86,-48.14,-12.38,235,-214.87,7.15,6.13,10.91,False
-246.81,-4.89,20,7.7,-1.96,-0.16,-3.03,-39.51,-48.14,-13.18,65,-199.87,6.5,6.36,10.31,False
-219.81,12.99,2,0.86,-1,-7.88,0.84,-22.65,-22.14,-21.24,2,-12.87,0.61,8.57,12.05,True
-351.81,-7.89,20,7.8,3.68,4.24,-11.22,-49.11,-28.14,-13.06,330,-149.87,5.6,6.57,11.15,False
-297.81,16.41,2,0.63,4.88,-7.78,0.78,-22.17,-18.14,-31.76,15,-19.87,1.44,8.11,,False
-396.81,-7.86,20,10.05,-1.56,-2.08,-11.49,-40.11,-48.14,-14,80,-84.87,7.55,3.05,,True
-330.81,7.68,0,0.75,3.72,-5.56,0,-22.65,-18.14,-22.24,26,-15.87,1.25,8.7,10.88,True
-141.81,0.63,20,7.3,-2.26,-2.36,-9.99,-38.31,-68.14,-16.28,195,-219.87,12.75,5.14,10.37,False
-111.81,-2.52,20,7.25,-3.92,1.68,-11.01,-39.06,-48.14,-19.56,140,-194.87,12.8,4.85,10,False
-201.81,-3.66,20,8,-3.64,1.08,-12.18,-37.11,-48.14,-14.76,20,-119.87,6.65,4.83,10.27,False
-267.81,7.68,2,0.61,5.68,-6.6,2.85,-22.74,-26.14,-29.3,46,-42.87,1.11,8.08,,False
-381.81,-1.74,20,9.2,0.54,2.2,-13.41,-45.06,-48.14,-9.9,275,-144.87,9.45,4.6,11.6,True
-231.81,-6.3,20,7.5,-1.46,4.36,-11.88,-42.06,-48.14,-12.38,245,-74.87,7.4,3.2,10.54,True
-216.81,-1.53,20,8.2,-2.14,-4.32,-9.66,-36.81,-48.14,-14.68,40,-234.87,9.8,4.62,,False
-381.81,-5.7,20,7.3,0.8,3.08,-12.39,-42.06,-28.14,-14.08,80,-54.87,6.75,3.06,,True
-531.81,-2.19,20,6,-0.14,1.6,-9.6,-42.66,-48.14,-14.68,200,-229.87,7.3,6.53,9.11,False
-186.81,-4.32,20,5.35,1.78,3.64,-8.55,-43.86,-48.14,-11.18,350,-89.87,6.05,3.38,10.26,False
-51.81,-4.11,20,5.9,-3.24,-2.28,-10.83,-42.36,-48.14,-16.72,90,-214.87,5.25,4.75,9.65,False
-312.81,11.1,2,0.02,0.4,-8.12,14.82,-23.37,-22.14,-24.08,22,-10.87,1.27,8.29,,False
-228.81,10.32,2,0.6,-0.26,-6.32,2.1,-21.84,-26.14,-21.66,3,-40.87,0.47,9.5,,False
-228.81,7.68,2,0.15,0.18,-7.64,2.94,-23.22,-22.14,-20.38,33,-7.87,0.59,9.67,,False
-441.81,1.74,20,7.15,-1.68,-0,-7.92,-38.61,-28.14,-13,170,-134.87,12.8,6.71,9.72,False
-501.81,-4.89,20,6.3,4.64,0.86,-11.25,-41.91,-48.14,-12.6,130,-169.87,5.3,3.96,8.27,False
-516.81,-7.11,20,7.25,2.58,0.82,-13.35,-42.36,-28.14,-11.68,220,-99.87,7.35,3.18,9.63,False
-111.81,14.55,20,6.85,-1.64,0.08,-10.62,-36.36,-48.14,-14.1,30,-19.87,9.8,4.18,,False
-381.81,9.6,20,7.2,-2.46,2.06,-9.33,-35.76,-28.14,-12.72,70,-19.87,8.75,5.65,9.49,False
-186.81,-2.7,20,8.25,7.18,4.72,-12.51,-48.51,-48.14,-12,370,-214.87,6.45,3.46,9.95,True
-321.81,8.91,2,0.83,-0.64,-7.16,0.45,-21.51,-22.14,-23.88,4,-34.87,1.52,9.63,11.01,False
-249.81,11.7,2,0.47,-0.68,-9.68,2.94,-22.41,-26.14,-21.06,13,-13.87,0.81,8.61,11.98,True
-156.81,-6,20,6.8,-3.56,0.66,-12.6,-37.71,-48.14,-15.22,185,0.13,10.35,5.51,,True
-291.81,8.1,2,0.3,0.58,-6.7,3.27,-23.31,-18.14,-22.62,7,-18.87,1.16,8.45,,False
-516.81,1.83,20,5.55,0.9,-0.72,-9.75,-38.16,-28.14,-14.04,350,-89.87,8.2,6.46,9.19,False
-396.81,3.9,20,8,0.14,0.38,-13.02,-41.76,-28.14,-11.62,80,-209.87,5.9,4.28,,False
-231.81,10.89,2,0.33,-1.14,-9.06,7.02,-22.32,-22.14,-22.94,12,-42.87,1.6,8.47,,False
-516.81,-3.84,20,5.15,-2.98,2.16,-9.93,-43.71,-48.14,-14.54,85,-224.87,10.65,4.89,,False
-531.81,-7.23,20,9.1,0.14,-0.34,-14.01,-39.66,-28.14,-10.7,255,-54.87,15.25,3.46,,True
-231.81,-4.74,20,9.85,0.44,2.2,-12.75,-38.46,-48.14,-14.3,370,-154.87,7.05,4.53,,False
-291.81,11.07,2,0.86,0.64,-11,4.8,-22.83,-18.14,-21.04,3,-23.87,0.66,11.95,,True
-267.81,14.85,2,0.52,-0.7,-8.92,6.06,-22.92,-26.14,-20.36,60,-7.87,1.85,8.7,,True
53.19,12.33,20,6.35,-1.84,1.16,-5.76,-36.21,-68.14,-13.02,205,-49.87,6.7,4.22,10.02,False
-303.81,10.32,2,0.9,0.46,-8.32,4.2,-21.99,-18.14,-21.24,32,-27.87,1.49,9.22,10.53,False
-381.81,-3.9,20,8.1,-1.14,2.08,-11.79,-36.66,-48.14,-12.68,295,-89.87,13.7,5.16,9.4,False
-234.81,9.51,2,0.16,1.22,-6.48,1.38,-22.5,-26.14,-22.46,49,-13.87,1.59,12.2,,False
-219.81,7.23,2,0.53,-0.92,-6.06,4.68,-23.4,-26.14,-23.26,18,-17.87,0.42,11.19,11.94,True
-240.81,10.26,2,0.88,3.04,-16.3,10.77,-22.47,-22.14,-20.98,13,-5.87,1.75,8.8,,True
-297.81,14.34,2,0.65,0.7,-8.16,0.24,-22.8,-22.14,-20.98,65,-15.87,1.06,8.55,,True
